11.5,17.4,3.4,2.9,31,12.6,86,8,10,1013.4,15.2,78,7,19,1011.8
6.8,16.8,3,12.6,35,12.8,54,1,7,1014.2,14.8,62,2,26,1012.1
9.9,17.8,4,8,28,13.2,74,7,7,1013.2,17.4,56,4,19,1010.9
10.5,23.7,5,10.7,65,16.4,50,2,20,1011.2,23.1,25,7,30,1005.3
14.7,24.8,8.8,9.5,39,17.6,73,6,6,1000.5,18.8,59,1,24,1001.2
10.3,23.4,4.4,12,81,16.1,53,2,19,1000.6,22.4,33,4,46,992.7
10.5,18.4,12,7.4,48,11.4,60,7,19,999,17.9,29,5,20,1002.2
5.4,19.4,4.6,11.7,35,13,51,1,11,1017,16.8,37,4,26,1015.2
8.8,19.2,5.8,5.2,35,14.9,61,6,19,1014.9,17.1,55,6,13,1012.9
6.8,13.6,3.2,4.4,46,10.9,53,4,15,1015.2,11.1,51,7,24,1014.2
5.4,14.4,4.2,7.7,61,9.9,63,2,9,1008.6,13.8,43,7,24,1006.5
5.6,14.2,3.2,11.1,61,9.5,67,6,13,1013.1,13,56,6,26,1014.7
5.3,14.1,4.2,11.8,30,10.9,44,6,19,1024.1,13.5,48,5,19,1022
4.7,19.2,5.2,10.6,50,12.1,54,3,20,1015.2,18.4,32,2,24,1010.1
7.3,16.9,4.8,8.8,52,11,51,7,20,1016.8,16,36,2,17,1018.2
7.1,22.2,4.4,12.2,41,15.2,53,3,17,1023.7,20,41,1,13,1022
8.5,16.9,5.2,10.5,39,14.3,52,6,11,1027.4,15.2,61,1,26,1027
10.7,19.3,6,8.7,33,14.6,66,7,11,1030.5,18.5,51,6,20,1028.4
10.1,19.2,6,13.1,39,16.9,62,1,9,1029.3,16.8,66,1,28,1027.9
12.6,19.8,7.4,9,33,13,89,7,9,1028.2,19.5,55,1,20,1025.6
10.7,23.5,6.2,13.2,30,17.6,61,0,15,1023.7,22.4,47,1,20,1020.9
13.7,29.8,7,13.3,43,19.6,42,0,22,1018.9,28.9,23,1,20,1014.4
16,28,11.4,8.6,57,22,32,1,30,1010.3,18.4,73,7,15,1008
12.1,14.8,6.6,0,33,12.3,92,8,19,1020.9,12.9,88,8,20,1021.2
12,23.8,1.4,9.8,41,14.7,92,8,2,1022.9,22.4,57,2,15,1019.4
